date,miner,type,to_miner,address,value,pct_addrs,pct_value
2/1/2011 0:00,DeepBit,before,NEW,80,246.37,1,1
2/1/2011 0:00,DeepBit,cross,SAME,80,246.37,1,1
2/1/2011 0:00,DeepBit,cross,CROSS,0,0,0,0
2/1/2011 0:00,DeepBit,after,SAME,53,174.82,0.6625,0.709583147
2/1/2011 0:00,DeepBit,after,DROPOUT,27,71.55,0.3375,0.290416853
3/1/2011 0:00,DeepBit,before,SAME,53,3703.5,0.046207498,0.157280653
3/1/2011 0:00,DeepBit,before,NEW,1094,19843.57929,0.953792502,0.842719347
3/1/2011 0:00,DeepBit,cross,SAME,1147,23547.07929,1,1
3/1/2011 0:00,DeepBit,cross,CROSS,0,0,0,0
3/1/2011 0:00,DeepBit,after,SAME,328,12109.41,0.285963383,0.51426378
3/1/2011 0:00,DeepBit,after,DROPOUT,819,11437.66929,0.714036617,0.48573622
4/1/2011 0:00,DeepBit,before,SAME,328,20245.92,0.106840391,0.440532758
4/1/2011 0:00,DeepBit,before,NEW,2742,25711.88818,0.893159609,0.559467242
4/1/2011 0:00,DeepBit,cross,SAME,3070,45957.80818,1,1
4/1/2011 0:00,DeepBit,cross,CROSS,0,0,0,0
4/1/2011 0:00,DeepBit,after,SAME,760,25379.48,0.247557003,0.552234343
4/1/2011 0:00,DeepBit,after,DROPOUT,2310,20578.32818,0.752442997,0.447765657
5/1/2011 0:00,DeepBit,before,SAME,760,28790.62,0.061833862,0.238916153
5/1/2011 0:00,DeepBit,before,NEW,11531,91714.50151,0.938166138,0.761083847
5/1/2011 0:00,DeepBit,cross,SAME,12291,120505.1215,1,1
5/1/2011 0:00,DeepBit,cross,CROSS,0,0,0,0
5/1/2011 0:00,DeepBit,after,SAME,2880,52309.289,0.234317794,0.434083534
5/1/2011 0:00,DeepBit,after,DROPOUT,9386,67973.16251,0.763648198,0.564068661
6/1/2011 0:00,DeepBit,before,SAME,2880,38918.57928,0.150446638,0.351593094
6/1/2011 0:00,DeepBit,before,NEW,16263,71773.52454,0.849553362,0.648406906
6/1/2011 0:00,DeepBit,cross,SAME,19143,110692.1038,1,1
6/1/2011 0:00,DeepBit,cross,CROSS,197,1257.6125,0.010290968,0.011361357
6/1/2011 0:00,DeepBit,after,SAME,4793,50417.74289,0.250378729,0.455477321
6/1/2011 0:00,DeepBit,after,DROPOUT,14314,60168.11093,0.747740689,0.543562809
7/1/2011 0:00,DeepBit,before,SAME,4793,40941.49452,0.373868955,0.44956145
7/1/2011 0:00,DeepBit,before,NEW,7992,49968.36703,0.623400936,0.548681767
7/1/2011 0:00,DeepBit,cross,SAME,12820,91069.85155,1,1
7/1/2011 0:00,DeepBit,cross,CROSS,129,970.6067171,0.010062402,0.010657827
7/1/2011 0:00,DeepBit,after,SAME,4229,43832.85952,0.329875195,0.481310321
7/1/2011 0:00,DeepBit,after,DROPOUT,8534,47075.65617,0.665678627,0.516918117
8/1/2011 0:00,DeepBit,before,SAME,4229,47434.32602,0.351304203,0.518589955
8/1/2011 0:00,DeepBit,before,NEW,7786,43931.48801,0.64678518,0.48029413
8/1/2011 0:00,DeepBit,cross,SAME,12038,91467.88442,1,1
8/1/2011 0:00,DeepBit,cross,CROSS,107,1330.634237,0.00888852,0.014547557
8/1/2011 0:00,DeepBit,after,SAME,4084,48328.07681,0.339259013,0.528361152
8/1/2011 0:00,DeepBit,after,DROPOUT,7929,43123.00064,0.65866423,0.4714551
9/1/2011 0:00,DeepBit,before,SAME,4084,47036.43423,0.388915341,0.553169563
9/1/2011 0:00,DeepBit,before,NEW,6405,37953.02144,0.60994191,0.446344555
9/1/2011 0:00,DeepBit,cross,SAME,10501,85030.77056,1,1
9/1/2011 0:00,DeepBit,cross,CROSS,81,616.9612805,0.007713551,0.007255741
9/1/2011 0:00,DeepBit,after,SAME,3535,45301.99022,0.336634606,0.532771724
