date,miner,type,to_miner,address,value,pct_addrs,pct_value
2013-10-01,DeepBit,after,BitFury,0,0,0,0
2013-11-01,BitFury,before,DeepBit,0,0,0,0
2013-11-01,BitFury,cross,DeepBit,0,0,0,0
2013-11-01,DeepBit,cross,BitFury,0,0,0,0
2014-06-01,AntPool,after,BitFury,0,0,0,0
2014-07-01,AntPool,cross,BitFury,0,0,0,0
2014-07-01,BitFury,before,AntPool,0,0,0,0
2014-07-01,BitFury,cross,AntPool,0,0,0,0
2014-07-01,BitFury,after,AntPool,0,0,0,0
2014-08-01,AntPool,before,BitFury,0,0,0,0
2014-08-01,AntPool,after,BitFury,0,0,0,0
2014-09-01,AntPool,cross,BitFury,0,0,0,0
2014-09-01,AntPool,after,KanoPool,0,0,0,0
2014-09-01,BitFury,before,AntPool,0,0,0,0
2014-09-01,BitFury,cross,AntPool,0,0,0,0
2014-09-01,BitFury,after,AntPool,0,0,0,0
2014-09-01,BitFury,after,KanoPool,0,0,0,0
2014-10-01,AntPool,before,BitFury,0,0,0,0
2014-10-01,AntPool,cross,KanoPool,1,0.00708962,0.000749625,1.10E-06
2014-10-01,AntPool,after,BitFury,0,0,0,0
2014-10-01,AntPool,after,KanoPool,2,0.00979986,0.00149925,1.52E-06
2014-10-01,KanoPool,before,AntPool,0,0,0,0
2014-10-01,KanoPool,before,BitFury,0,0,0,0
2014-10-01,KanoPool,cross,AntPool,1,0.01406596,0.022727273,0.000186604
2014-10-01,KanoPool,after,AntPool,0,0,0,0
2014-10-01,KanoPool,after,BitFury,0,0,0,0
2014-11-01,AntPool,before,KanoPool,0,0,0,0
2014-11-01,AntPool,cross,BitFury,0,0,0,0
2014-11-01,AntPool,cross,KanoPool,3,0.24115975,0.004155125,3.64E-05
2014-11-01,AntPool,after,BitFury,0,0,0,0
2014-11-01,AntPool,after,KanoPool,3,0.047,0.004155125,7.10E-06
2014-11-01,BitFury,before,AntPool,0,0,0,0
2014-11-01,BitFury,before,KanoPool,0,0,0,0
2014-11-01,BitFury,cross,AntPool,0,0,0,0
2014-11-01,BitFury,cross,KanoPool,0,0,0,0
2014-11-01,BitFury,after,AntPool,0,0,0,0
2014-11-01,BitFury,after,KanoPool,0,0,0,0
2014-11-01,KanoPool,before,AntPool,2,0.29034934,0.014388489,0.000505496
2014-11-01,KanoPool,cross,AntPool,3,0.62506991,0.021582734,0.001088241
2014-11-01,KanoPool,cross,BitFury,0,0,0,0
2014-11-01,KanoPool,after,AntPool,5,0.22790489,0.035971223,0.00039678
2014-11-01,KanoPool,after,BitFury,0,0,0,0
2014-12-01,AntPool,before,BitFury,0,0,0,0
2014-12-01,AntPool,before,KanoPool,5,0.49620855,0.004484305,3.72E-05
2014-12-01,AntPool,cross,BitFury,0,0,0,0
