,Time,Relayed By,reward,pandas_SMA_4
5,2011-06,1Hash,50.12287098579439,
7,2011-07,1Hash,50.067667946581196,
9,2011-08,1Hash,50.03420799686275,50.05621676136313
11,2011-09,1Hash,50.03100191511111,50.064588454209286
13,2011-10,1Hash,50.03338226184211,50.06598019588211
17,2011-11,1Hash,50.032703455820894,50.0371093735952
23,2011-12,1Hash,50.484980210108695,50.06856339321145
32,2012-01,1Hash,50.17669854669173,50.22786357827833
42,2012-02,1Hash,50.0482863859804,50.04455254758832
50,2012-03,1Hash,50.02758690764286,50.03287096031498
58,2012-04,1Hash,50.03024411883117,50.03104996108665
69,2012-05,1Hash,50.111018955029586,50.07689991209236
78,2012-06,1Hash,50.125605319072164,50.12841948684054
87,2012-07,1Hash,50.01615589611651,50.147695086834766
97,2012-08,1Hash,50.0129687678125,50.15881040396698
107,2012-09,1Hash,50.01993702769231,50.14400540084914
118,2012-10,1Hash,50.027158962972976,50.137755154231755
130,2012-11,1Hash,48.8374839075,49.287514785799196
141,2012-12,1Hash,25.145621632727273,36.76137325988868
152,2013-01,1Hash,25.10548728309524,25.243583533676738
164,2013-02,1Hash,25.10918911225,25.273981016497235
178,2013-03,1Hash,26.032494146320754,25.379695524448145
191,2013-04,1Hash,25.204550710093457,25.278116155791956
206,2013-05,1Hash,25.16630403326923,25.235049738816194
207,2013-05,Poolin,25.501573938928573,25.258671858016744
223,2013-06,1Hash,25.14415143132867,25.192538287240357
224,2013-06,Poolin,25.302293649155843,25.199757597455942
239,2013-07,1Hash,25.22513667311628,25.158481561415414
240,2013-07,Poolin,25.166077154814815,25.159875075796894
257,2013-08,1Hash,25.149479001650487,25.254255619545898
258,2013-08,Poolin,25.152930168423914,25.251414101615815
273,2013-09,1Hash,25.080886411197607,25.20647895518316
274,2013-09,Poolin,25.851090793793105,25.269139432895805
292,2013-10,1Hash,25.097046524386972,25.174790795166782
293,2013-10,Poolin,25.121380593370784,25.163385465397063
310,2013-11,1Hash,25.227717457315542,25.148732503676325
311,2013-11,Poolin,25.12870082046512,25.147178621591337
327,2013-12,1Hash,25.091973934358162,25.10461387645747
328,2013-12,Poolin,25.021310868235293,25.085089018780256
344,2014-01,1Hash,25.083916314640625,25.075504785423576
345,2014-01,Poolin,25.04501757372093,25.069217321546482
354,2014-02,AntPool,25.085645757,25.061639711017133
361,2014-02,1Hash,25.093319708503255,25.07610941258823
362,2014-02,Poolin,25.043544232167967,25.078165742693916
372,2014-03,AntPool,25.07604200846154,25.06745160249583
379,2014-03,1Hash,25.089147598852005,25.070130383931566
380,2014-03,Poolin,25.09817961136,25.07817148201201
389,2014-04,AntPool,25.06763018529412,25.060730470145863
395,2014-04,1Hash,25.084782993800903,25.06078115939529
396,2014-04,Poolin,25.092101173567567,25.064185517037004
412,2014-05,1Hash,25.07967509137019,25.07052979056207
413,2014-05,Poolin,25.089443454862803,25.065736818048347
425,2014-06,AntPool,25.062165883454547,25.050086020274502
