,Time,Relayed By,size,pandas_SMA_4
5,2011-06,1Hash,10.698504672897196,
7,2011-07,1Hash,17.86299145299145,
9,2011-08,1Hash,7.363333333333332,10.590303890828633
11,2011-09,1Hash,6.231777777777777,13.156886207353415
13,2011-10,1Hash,5.230964912280702,14.73139881375857
17,2011-11,1Hash,5.5691044776119405,13.662784369467307
23,2011-12,1Hash,5.284999999999999,12.974932221554436
32,2012-01,1Hash,6.388872180451128,17.14778095441394
42,2012-02,1Hash,5.926862745098039,23.705881245114718
50,2012-03,1Hash,6.2255,17.663197313953084
58,2012-04,1Hash,6.292142857142857,18.91117863649196
69,2012-05,1Hash,73.80307692307692,49.23320860124502
78,2012-06,1Hash,77.43505154639175,83.06339676122124
87,2012-07,1Hash,13.701262135922331,101.87367079301379
97,2012-08,1Hash,9.694583333333332,100.72414848239013
107,2012-09,1Hash,35.12538461538462,91.96583581401855
118,2012-10,1Hash,21.923783783783783,86.13648670038694
130,2012-11,1Hash,109.3065,115.83001409734831
141,2012-12,1Hash,104.50363636363636,119.9928784574455
152,2013-01,1Hash,128.58857142857144,134.66129500486352
164,2013-02,1Hash,130.58425,158.97176082564084
178,2013-03,1Hash,141.5356603773585,151.39369922468845
191,2013-04,1Hash,96.7688785046729,139.65687818903433
206,2013-05,1Hash,195.22298076923076,130.54871331532655
207,2013-05,Poolin,149.74392857142857,133.18164463400785
223,2013-06,1Hash,189.887972027972,111.53353661032745
224,2013-06,Poolin,140.36292207792206,113.43717881811968
239,2013-07,1Hash,143.2707906976744,102.52977317854575
240,2013-07,Poolin,126.25759259259259,104.917232437805
257,2013-08,1Hash,167.6971359223301,139.1868985725158
258,2013-08,Poolin,128.24722826086958,140.97053712893984
273,2013-09,1Hash,113.47011976047904,120.99147503175213
274,2013-09,Poolin,129.2035344827586,119.00716181336131
292,2013-10,1Hash,102.59944444444446,113.77547539104326
293,2013-10,Poolin,118.77067415730338,112.90380494269593
310,2013-11,1Hash,201.09684458398743,160.75358145357137
311,2013-11,Poolin,157.71593023255812,165.3752078428723
327,2013-12,1Hash,229.28969889064973,193.19365333654335
328,2013-12,Poolin,26.92173374613003,181.11974449889925
344,2014-01,1Hash,231.64640625,170.50151690064243
345,2014-01,Poolin,37.48184496124031,159.30726328601727
354,2014-02,AntPool,181.978,121.08291878493802
361,2014-02,1Hash,290.57464208242953,213.71298200440683
362,2014-02,Poolin,50.98310546875,209.6460703290596
372,2014-03,AntPool,185.51153846153846,152.15115285566202
379,2014-03,1Hash,299.472060857538,205.97473114613837
380,2014-03,Poolin,289.111904,227.67525487947168
389,2014-04,AntPool,169.77235294117648,163.60435450162748
395,2014-04,1Hash,293.1071266968326,174.68060101709543
396,2014-04,Poolin,267.98474324324326,187.29560500243673
412,2014-05,1Hash,277.18213942307693,222.38210675493346
413,2014-05,Poolin,279.57719512195126,218.0258262671286
425,2014-06,AntPool,211.35072727272728,168.00688365701612
428,2014-06,BitFury,241.55343511450383,206.23787771598307
434,2014-06,1Hash,208.69015625000003,218.53134662775474
435,2014-06,Poolin,238.85551192145863,221.28182509262788
446,2014-07,AntPool,279.23016393442623,163.8791869568777
450,2014-07,BitFury,275.6261337209302,205.78869608566555
456,2014-07,1Hash,275.8858431372549,274.13802602430127
457,2014-07,Poolin,259.98082462253194,276.9284718586475
469,2014-08,AntPool,242.77165217391303,236.253839708545
472,2014-08,BitFury,299.8264705882353,275.81774395534666
479,2014-08,1Hash,234.87358778625952,241.23026389795646
480,2014-08,Poolin,248.01802841918294,244.82292296990673
491,2014-09,AntPool,295.4936507936508,213.85356707939914
493,2014-09,BitFury,299.6412857142857,231.7966777317362
499,2014-09,1Hash,295.92885,269.2425048471802
500,2014-09,Poolin,272.8307207207207,278.04728254695794
513,2014-10,AntPool,300.74440860215054,236.13021620891695
516,2014-10,BW.COM,72.8525,234.83954713026077
518,2014-10,BitFury,322.55,252.27854713026082
524,2014-10,1Hash,339.1957466063348,268.55349604532864
525,2014-10,Poolin,333.6486709367494,262.19067083131125
527,2014-10,KanoPool,431.9975,301.7042978804916
538,2014-11,AntPool,381.2525120772947,269.30208400348965
542,2014-11,BW.COM,173.71307142857145,302.44246460101004
543,2014-11,BitFury,358.5346484375,323.38292944476
549,2014-11,1Hash,330.142,332.1783602462914
550,2014-11,Poolin,396.3424608294931,336.17826257924065
552,2014-11,KanoPool,316.5863636363636,311.9374813027823
562,2014-12,AntPool,352.6915927419355,279.4122441417918
565,2014-12,BW.COM,167.90372759856632,297.0495001127664
567,2014-12,BitFury,373.494824120603,311.84630489324775
573,2014-12,1Hash,398.11620915032677,339.63308092497175
574,2014-12,Poolin,432.9957086614173,347.1393474432874
576,2014-12,KanoPool,266.37970588235294,364.23863471265986
588,2015-01,AntPool,379.6581240544629,325.97657987237847
591,2015-01,BW.COM,172.94042979942694,291.54624838803545
593,2015-01,BitFury,392.17386503067485,316.26101340962146
599,2015-01,1Hash,349.87725190839694,258.43392319236835
600,2015-01,Poolin,436.5150897571277,269.98296788236684
602,2015-01,KanoPool,422.5133846153846,297.09669573830126
615,2015-02,AntPool,384.0810819672131,337.08059664552803
618,2015-02,BW.COM,140.18942073170732,282.18743681544487
620,2015-02,BitFury,398.4198850574713,304.3007079815732
626,2015-02,1Hash,382.16853846153845,306.1756174172257
627,2015-02,Poolin,452.37461538461537,311.8138602056872
629,2015-02,KanoPool,450.96722222222223,338.1666780725087
641,2015-03,AntPool,400.0492734478203,357.5710293508408
644,2015-03,BW.COM,246.93858407079645,342.99167531523557
646,2015-03,BitFury,397.71112149532706,333.5186578697527
651,2015-03,1Hash,358.8666393442623,341.2878049458617
652,2015-03,Poolin,441.9598929049531,345.0223972514324
655,2015-03,KanoPool,424.3707317073171,333.35277912623707
668,2015-04,AntPool,392.51528273809527,401.6996000601798
671,2015-04,BW.COM,361.8613091922005,375.90285623566905
674,2015-04,BitFury,414.15681318681317,403.247138662325
679,2015-04,1Hash,423.3,386.8906996188538
680,2015-04,Poolin,454.0773051224944,391.44197179776984
682,2015-04,KanoPool,418.33809523809526,393.9283782811472
697,2015-05,AntPool,377.03342482100237,414.20614893103783
700,2015-05,BW.COM,345.8071568627451,392.60212449306175
702,2015-05,BitFury,376.20032388663964,374.99485498576075
707,2015-05,1Hash,472.7505194805195,356.8921989119342
708,2015-05,Poolin,441.0425237592397,361.6920425287341
710,2015-05,KanoPool,487.85125,378.29182862308636
724,2015-06,AntPool,477.3696340023613,398.48746366913736
727,2015-06,BW.COM,422.2814,424.97537488627506
730,2015-06,BitFury,469.37540796963947,399.35402065820773
735,2015-06,1Hash,307.9645360824742,372.03574978601466
736,2015-06,Poolin,474.4322834645669,379.3755868281235
739,2015-06,KanoPool,527.0611764705883,403.1053549984129
754,2015-07,AntPool,598.328021978022,454.1853440090089
756,2015-07,BW.COM,504.05356,474.0150750090089
760,2015-07,BitFury,699.6627518796993,567.1094843354651
764,2015-07,1Hash,297.7634825870647,544.6752945140165
765,2015-07,Poolin,562.7320192307692,556.2564964370933
767,2015-07,KanoPool,693.0287096774193,575.9707930140307
